Mois;Hauteur;Capteur
1;185.54;Sentinel 3A
1;189.29;Sentinel 3A
1;189.058685065629;ERS 2
1;187.748345;ENVISAT
1;181.86393;ENVISAT
1;183.670415;ENVISAT
1;187.188095;ENVISAT
1;185.81453;ENVISAT
1;183.13736;ENVISAT
1;182.76640035126616;SARAL
1;183.4292865591819;SARAL
2;189.79;Sentinel 3A
2;186.28;Sentinel 3A
2;186.4472;ENVISAT
2;184.22566;ENVISAT
2;183.31222;ENVISAT
2;181.981595;ENVISAT
2;185.3842375;ENVISAT
2;184.66362;ENVISAT
2;181.23437907179743;SARAL
2;182.81228285103958;SARAL
3;184.42;Sentinel 3A
3;189.06;Sentinel 3A
3;186.95;Sentinel 3A
3;181.63;Sentinel 3A
3;182.58;Sentinel 3A
3;183.512054928389;ERS 2
3;185.690985919294;ERS 2
3;185.690985919294;ERS 2
3;187.625103741138;ERS 2
3;187.625103741138;ERS 2
3;186.647743660018;ERS 2
3;185.8275375;ENVISAT
3;187.53615;ENVISAT
3;183.5795125;ENVISAT
3;183.291425;ENVISAT
3;179.672595;ENVISAT
3;185.4050025;ENVISAT
3;181.2908025;ENVISAT
3;181.30747030997767;SARAL
4;181.99;Sentinel 3A
4;184.65;Sentinel 3A
4;184.04;Sentinel 3A
4;185.04;Sentinel 3A
4;186.22;Sentinel 3A
4;185.535603445198;ERS 2
4;188.816142080997;ERS 2
4;184.51234;ENVISAT
4;186.89949;ENVISAT
4;182.7759;ENVISAT
4;182.5474125;ENVISAT
4;184.6748175;ENVISAT
4;183.9466125;ENVISAT
4;179.9374025;ENVISAT
4;182.3765141703776;SARAL
5;184.01;Sentinel 3A
5;185.90;Sentinel 3A
5;185.25;Sentinel 3A
5;180.68;Sentinel 3A
5;185.254645686473;ERS 2
5;182.668677091871;ERS 2
5;186.078319626518;ERS 2
5;181.843029481388;ERS 2
5;186.101349335106;ERS 2
5;185.406709915829;ERS 2
5;184.1392375;ENVISAT
5;186.2466625;ENVISAT
5;178.900775;ENVISAT
5;181.5224175;ENVISAT
5;184.24039;ENVISAT
5;182.9687575;ENVISAT
5;180.751515;ENVISAT
5;181.59907532865714;SARAL
5;181.05772658683685;SARAL
6;181.43;Sentinel 3A
6;182.84;Sentinel 3A
6;185.89;Sentinel 3A
6;185.41;Sentinel 3A
6;180.52;Sentinel 3A
6;178.502671350053;ERS 2
6;186.66723602859;ERS 2
6;184.3919625;ENVISAT
6;185.2537;ENVISAT
6;182.33961;ENVISAT
6;182.386735;ENVISAT
6;181.649725;ENVISAT
6;183.2318225;ENVISAT
6;182.177575;ENVISAT
6;181.05696284811143;SARAL
7;181.41;Sentinel 3A
7;183.31;Sentinel 3A
7;185.65;Sentinel 3A
7;184.95;Sentinel 3A
7;180.50;Sentinel 3A
7;185.836206439865;ERS 2
7;186.338320845844;ERS 2
7;184.54121483424;ERS 2
7;184.545872526359;ERS 2
7;184.6706375;ENVISAT
7;183.6777;ENVISAT
7;184.54356;ENVISAT
7;182.409265;ENVISAT
7;181.84992;ENVISAT
7;181.395525;ENVISAT
7;181.7018225;ENVISAT
7;180.976185;ENVISAT
7;180.5906640550777;SARAL
7;180.23302905633295;SARAL
8;183.52;Sentinel 3A
8;184.58;Sentinel 3A
8;184.17;Sentinel 3A
8;184.29;Sentinel 3A
8;182.128123236479;ERS 2
8;185.56535149508;ERS 2
8;183.461532535884;ERS 2
8;187.195698649769;ERS 2
8;186.943883461899;ERS 2
8;186.837415;ENVISAT
8;184.0607925;ENVISAT
8;184.54294;ENVISAT
8;182.9126325;ENVISAT
8;182.4731675;ENVISAT
8;183.3063225;ENVISAT
8;182.15972;ENVISAT
8;180.75855;ENVISAT
8;180.8262578237429;SARAL
9;183.72;Sentinel 3A
9;186.63;Sentinel 3A
9;185.36;Sentinel 3A
9;183.23;Sentinel 3A
9;186.880717881341;ERS 2
9;185.62529191119;ERS 2
9;190.173284739531;ERS 2
9;187.9910875;ENVISAT
9;186.04607;ENVISAT
9;183.28082;ENVISAT
9;182.25961;ENVISAT
9;185.4589;ENVISAT
9;184.8835725;ENVISAT
9;183.4226375;ENVISAT
9;181.29865;ENVISAT
9;181.17023905717386;SARAL
9;182.53655659066112;SARAL
9;180.42535779976828;SARAL
10;186.44;Sentinel 3A
10;184.72;Sentinel 3A
10;188.52;Sentinel 3A
10;187.56;Sentinel 3A
10;185.25;Sentinel 3A
10;185.940563988088;ERS 2
10;190.989957285921;ERS 2
10;188.6475075;ENVISAT
10;184.54306;ENVISAT
10;184.1639075;ENVISAT
10;187.3419325;ENVISAT
10;187.6541825;ENVISAT
10;180.9601775;ENVISAT
10;184.0954;ENVISAT
10;183.44855908658224;SARAL
11;185.82;Sentinel 3A
11;190.29;Sentinel 3A
11;189.85;Sentinel 3A
11;190.72;Sentinel 3A
11;186.84;Sentinel 3A
11;185.14;Sentinel 3A
11;187.378742757952;ERS 2
11;188.620278549982;ERS 2
11;188.31798;ENVISAT
11;189.8541025;ENVISAT
11;185.90165;ENVISAT
11;184.32279;ENVISAT
11;185.5213;ENVISAT
11;187.973745;ENVISAT
11;184.13267780118673;SARAL
11;183.58080783649763;SARAL
12;186.57;Sentinel 3A
12;185.96;Sentinel 3A
12;190.68;Sentinel 3A
12;190.12;Sentinel 3A
12;186.21;Sentinel 3A
12;189.855576112738;ERS 2
12;189.205188322461;ERS 2
12;187.957596721851;ERS 2
12;188.60918;ENVISAT
12;189.00331;ENVISAT
12;185.4467325;ENVISAT
12;184.0105625;ENVISAT
12;182.12206;ENVISAT
12;187.353275;ENVISAT
12;187.225625;ENVISAT
12;184.1428525;ENVISAT
12;184.25417033115602;SARAL
12;182.3205778187952;SARAL
